"Title","EnvironmentName"
"2xutech@2xu.com","2XU"
"AX.noreply@SoneparSEA.com","Sonepar SEA"
"Slim4@sabco.com.au","Sabco"
"Slim4UAT_NEW_server@nl.aswatson.com","AS Watson (UAT New)"
"Slim4UATserver@nl.aswatson.com","AS Watson (UAT)"
"Slim4prodserver@nl.aswatson.com","AS Watson (Prod)"
"SlimStockMonitor@goldbell.com.sg","Goldbell"
"TI-equiposupply-monitoreo@farmacity.com.ar","Farmacity"
"alerts.euromarc@devine.nz","Devine (Euromarc)"
"aline_slimstockalerts@Alinepumps.com","Aline Pumps"
"cms@suwen.com.tr","Suwen"
"devdonot.reply@k-logistikus.com.ph","Kerry-Logistikus (Dev)"
"donot.reply@k-logistikus.com.ph","Kerry-Logistikus"
"donotreply@brenclosures.com.au","Bren Closures"
"ecsc_planning@singaporeair.com.sg","Singapore Airlines"
"engsoondoc@gmail.com","Eng Soon Doc"
"gita@garudafood.co.id","Garuda Food"
"helpdesk_APAC@datamars.com","Datamars APAC"
"ifsgroup@ifsqld.com.au","IFS Group"
"info.slimstock-test@vinda.com","Vinda (Test)"
"info.slimstock@vinda.com","Vinda"
"info@kleintools.com.au","Klein Tools"
"it.support@indotruck-utama.co.id","Indotruck Utama"
"itd@zanru.co.id","Zanru"
"marta@bahteraadijaya.com","Bahtera Adijaya"
"noreply@fulcrumsuspensions.com.au","Fulcrum Suspensions"
"noreply@mrpf.com.au","MRPF"
"noreplyKLS@klgsys.com","KLG Systems (KLS)"
"noreply_AHI@klgsys.com","KLG Systems (AHI)"
"slim4@archimining.com","Archi Mining"
"slim4@carrefoursa.com","Carrefour SA"
"slim4@corys.co.nz","Corys"
"slim4@exionasia.com","Exion Asia"
"slim4@mccormick.com.ph","McCormick PH"
"slim4@scantruck.com.sg","Scantruck"
"slim4@sysuinternational.ph","SYSU International"
"slim4@yogyagroup.com","Yogya Group"
"slim4_petstock_local@petstock.com.au","Petstock"
"slim4bsi-prod@bossard.com","Bossard (Prod)"
"slim4bsi-test@bossard.com","Bossard (Test)"
"slim4bsi-uat@bossard.com","Bossard (UAT)"
"slim4server-AdoreBeauty@slim4cloud.com","Adore Beauty"
"slim4server-AidacarePtyLtd@slim4cloud.com","Aidacare"
"slim4server-BarbequesGalore@slim4cloud.com","Barbeques Galore"
"slim4server-CBC@slim4cloud.com","PT CBC Indonesia"
"slim4server-Easmed@slim4cloud.com","Easmed"
"slim4server-Easmed_Test@slim4cloud.com","Easmed (Test)"
"slim4server-FarmatodoColombia@slim4cloud.com","Farmatodo Colombia"
"slim4server-FarmatodoVenezuela@slim4cloud.com","Farmatodo Venezuela"
"slim4server-HealthyLife@slim4cloud.com","Healthy Life"
"slim4server-Kincrome@slim4cloud.com","Kincrome"
"slim4server-KirstinAsh@slim4cloud.com","Kirstin Ash"
"slim4server-PTIntecsTeknikatama@slim4cloud.com","PT Intecs Teknikatama"
"slim4server-SDILimited@slim4cloud.com","SDI Limited"
"slim4server-WilhelmsenShipsService@slim4cloud.com","Wilhelmsen Ships Service"
"slim4server-aredirect@slim4cloud.com","Aredirect"
"slim4server-nationaltiles.com.au@slim4cloud.com","National Tiles"
"slim4server-nextrade_PRD@slim4cloud.com","Nextrade (Prod)"
"slim4server-nextrade_TST@slim4cloud.com","Nextrade (Test)"
"slim4server-sleepingduck@slim4cloud.com","Sleeping Duck"
"slim4server@beaconlighting.com.au","Beacon Lighting"
"slim4server@bidfood.co.nz","Bidfood NZ"
"slim4server@bidfood.com.sg","Bidfood SG"
"slim4server@konicaminolta.jp","Konica Minolta"
"slim4serverMY@aswatson.com","AS Watson MY"
"slim4serverMY_UAT@aswatson.com","AS Watson MY (UAT)"
"slim4serverPH@aswatson.com","AS Watson PH"
"slim4serverSG@aswatson.com","AS Watson SG"
"slim4serverSG_UAT@aswatson.com","AS Watson SG (UAT)"
"slim4serverTH@aswatson.com","AS Watson TH"
"slim4server_HCI@klgsys.com","KLG Systems (HCI)"
"slim4server_test@bidfood.com.sg","Bidfood SG (Test)"
"slim4support@asiaenterprises.com.sg","Asia Enterprises"
"slim@lh.com.au","L&H"
"slimstock@petloverscentre.com","Pet Lovers Centre"
"slimstock@shelta.com.au","Shelta"
"tech_PRD@galaimports.biz","Gala Imports"
